Country,Locality,Latitude,Longitude,Microhabitat,CpipComplexIDMethod,Fig3A_PieShown,N,N_mm,N_pp,N_pm,Freq_mm,Freq_pp,Freq_pm,Freq_m,Freq_p,F_IS,PooledByAuthors,Reference,DOI_link,1stAuthor,Year
Algeria,Reghaia,36.74,3.34,aboveground,morphology,X,35,10,15,10,0.29,0.42,0.29,0.44,0.57,0.417,no,S23,https://www.imedpub.com/articles/molecular-characterization-of-culex-pipiens-diptera-culicidae-in-reghaa-lake-algeria.pdf,Benallal,2015
Algeria,"Urban sites, El-Kala",36.89,8.44,aboveground,unknown,,10,3,4,3,0.30,0.40,0.30,0.45,0.55,,no,S13,10.1186/s13071-016-1725-9,Amara Korba,2016
Algeria,"Suburban sites, El-Kala",36.89,8.44,aboveground,unknown,,8,2,1,5,0.25,0.13,0.63,0.56,0.44,,no,S13,10.1186/s13071-016-1725-9,Amara Korba,2016
Algeria,"Rural sites, El-Kala",36.89,8.44,aboveground,unknown,,7,4,1,2,0.57,0.14,0.29,0.71,0.29,,no,S13,10.1186/s13071-016-1725-9,Amara Korba,2016
Algeria,"Suburban sites, M'Sila",35.70,4.54,aboveground,unknown,,18,9,5,4,0.50,0.28,0.22,0.61,0.39,,no,S13,10.1186/s13071-016-1725-9,Amara Korba,2016
Algeria,"Rural sites, M'Sila",35.70,4.54,aboveground,unknown,,12,4,4,4,0.50,0.28,0.22,0.61,0.39,,no,S13,10.1186/s13071-016-1725-9,Amara Korba,2016
Austria,Güssing,47.17,16.12,aboveground,adult morphology + ACE,,18,1,15,2,0.06,0.83,0.11,0.11,0.89,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Jennersdorf,46.96,16.27,aboveground,adult morphology + ACE,,82,12,65,5,0.15,0.79,0.06,0.18,0.82,0.791,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Oberwart,47.09,16.29,aboveground,adult morphology + ACE,X,290,4,265,21,0.01,0.91,0.07,0.05,0.95,0.238,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Oberpullendorf,47.30,16.45,aboveground,adult morphology + ACE,,12,0,12,0,0.00,1.00,0.00,0.00,1.00,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Jennersdorf,47.61,16.50,aboveground,adult morphology + ACE,,13,2,10,1,0.15,0.77,0.08,0.19,0.81,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Neusiedl am See,47.71,16.51,aboveground,adult morphology + ACE,,20,0,19,1,0.00,0.95,0.05,0.03,0.98,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Neusiedl am See,48.02,16.97,aboveground,adult morphology + ACE,,31,0,30,1,0.00,0.97,0.03,0.02,0.98,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Seewinkel National Park,47.77,16.77,aboveground,adult morphology + ACE,,18,0,16,2,0.00,0.89,0.11,0.06,0.94,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Wien Umgebung,48.25,16.12,aboveground,adult morphology + ACE,,32,4,25,3,0.13,0.78,0.09,0.17,0.83,0.671,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Mödling,48.04,16.29,aboveground,adult morphology + ACE,,81,0,77,4,0.00,0.95,0.05,0.02,0.98,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Orth an der Donau,48.14,16.67,aboveground,adult morphology + ACE,,17,0,17,0,0.00,1.00,0.00,0.00,1.00,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Eckertsau,48.13,16.79,aboveground,adult morphology + ACE,,24,0,24,0,0.00,1.00,0.00,0.00,1.00,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
Austria,Stopfenreuth,48.14,16.87,aboveground,adult morphology + ACE,,30,0,28,2,0.00,0.93,0.07,0.03,0.97,,no,S12,10.1186/s13071-016-1495-4,Zittra ,2016
